ISBN | BOOK_TITLE | BOOK_AUTHOR | BOOK_PUBLISHER | YEAR_PUBLISHED | MIN_PRICE | MAX_PRICE | AVG_PRICE
0743235533 | The Greatest Minds and Ideas of All Time | Will Durant | Simon & Schuster | 2002 | $11.47 | $17.22 | $14.61
0684807610 | Benjamin Franklin: An American Life | Walter Isaacson | Simon & Schuster | 2003 | $0.01 | $7.99 | $4.09
0743235533 | The Greatest Minds and Ideas of All Time | Will Durant | Simon & Schuster | 2002 | $11.47 | $17.22 | $14.61
0743235533 | The Greatest Minds and Ideas of All Time | Will Durant | Simon & Schuster | 2002 | $11.47 | $17.22 | $14.61
0451205367 | The Richest Man in Babylon | George S. Clason | Signet | 2002 | $3.68 | $8.25 | $4.67
1451648537 | Steve Jobs | Walter Isaacson | Simon & Schuster | 2011 | $0.01 | $4.78 | $0.56
0684807610 | Benjamin Franklin: An American Life | Walter Isaacson | Simon & Schuster | 2003 | $0.01 | $7.99 | $4.09
0199291152 | The Selfish Gene: 30th Anniversary Edition--with a new Introduction by the Author | Richard Dawkins | Oxford University Press | 2006 | $4.25 | $10.35 | $6.58
0743264738 | Einstein: His Life and Universe | Walter Isaacson | Simon & Schuster | 2007 | $1.79 | $8.45 | $5.16
0316219282 | The Everything Store: Jeff Bezos and the Age of Amazon | Brad Stone | Back Bay Books | 2014 | $2.09 | $9.99 | $5.77
0743235533 | The Greatest Minds and Ideas of All Time | Will Durant | Simon & Schuster | 2002 | $11.47 | $17.22 | $14.61
0451205367 | The Richest Man in Babylon | George S. Clason | Signet | 2002 | $3.68 | $8.25 | $4.67
0205992129 | Evolutionary Psychology: The New Science of the Mind | David Buss | Psychology Press | 2014 | $45.49 | $77.99 | $64.98
0743235533 | The Greatest Minds and Ideas of All Time | Will Durant | Simon & Schuster | 2002 | $11.47 | $17.22 | $14.61
0316219282 | The Everything Store: Jeff Bezos and the Age of Amazon | Brad Stone | Back Bay Books | 2014 | $2.09 | $9.99 | $5.77
